ticker
AAPL
AMZN
MSFT
JNJ
XOM
GE
PG
WMT
JPM
VZ
TM
DIS
FMX
KO
WFC
CVX
PFE
T
SHEL
TSM
MRK
INTC
CMCSA
NVS
PEP
PCG
UNH
BAC
HSBC
HD
CSCO
BMY
CVS
IBM
MDT
ORCL
SAP
UL
BTI
NVO
SLB
AZN
TTE
RTX
NKE
MMM
AMGN
GILD
MO
ABEV
UPS
C
BP
MCD
BA
BHP
RY
LLY
ABT
GSK
HON
ENB
TD
SAN
COST
WBA
QCOM
SPG
VOD
TMO
TEVA
BKNG
DEO
SBUX
USB
OXY
DHR
CCL
LMT
SCHW
NEE
LIN
TXN
CL
HMC
GS
UNP
D
ADBE
BLK
DUK
VTRS
CB
AXP
MS
EOG
AMT
BDX
BIIB
REGN
